Date,Time,Temperature,Humidity
12/05/20,14:42,25.7*C,36.2%
12/05/20,14:42,25.7*C,36.3%
12/05/20,14:42,25.7*C,36.3%
12/05/20,14:42,25.7*C,36.2%
12/05/20,14:43,25.7*C,36.2%
12/05/20,14:43,25.7*C,36.2%
12/05/20,14:43,25.7*C,36.2%
12/05/20,14:43,25.7*C,36.1%
12/05/20,14:43,25.7*C,36.1%
12/05/20,14:43,25.7*C,36.1%
12/05/20,14:43,25.7*C,36.1%
12/05/20,14:43,25.7*C,36.1%
12/05/20,14:43,25.7*C,36.1%
12/05/20,14:43,25.7*C,36.1%
12/05/20,14:44,25.7*C,36.0%
12/05/20,14:44,25.7*C,36.0%
12/05/20,14:44,25.7*C,36.0%
12/05/20,14:44,25.8*C,36.1%
12/05/20,14:44,25.7*C,35.9%
12/05/20,14:44,25.7*C,35.9%
12/05/20,14:44,25.8*C,35.9%
12/05/20,14:44,25.7*C,35.8%
12/05/20,14:45,25.8*C,35.9%
12/05/20,14:45,25.8*C,35.9%
12/05/20,14:45,25.8*C,35.9%
12/05/20,14:45,25.8*C,35.9%
12/05/20,14:45,25.8*C,35.9%
12/05/20,14:45,25.8*C,35.9%
12/05/20,14:45,25.8*C,36.0%
12/05/20,14:45,25.8*C,36.0%
12/05/20,14:45,25.8*C,36.0%
12/05/20,14:45,25.8*C,35.8%
12/05/20,14:46,25.8*C,35.8%
12/05/20,14:46,25.8*C,35.8%
12/05/20,14:46,25.8*C,35.7%
12/05/20,14:46,25.8*C,35.7%
12/05/20,14:46,25.8*C,35.6%
12/05/20,14:46,25.8*C,35.6%
12/05/20,14:46,25.8*C,35.7%
12/05/20,14:46,25.8*C,35.6%
12/05/20,14:46,25.8*C,35.6%
12/05/20,14:46,25.8*C,35.6%
12/05/20,14:46,25.8*C,35.6%
12/05/20,14:47,25.8*C,35.6%
12/05/20,14:47,25.7*C,35.6%
12/05/20,14:47,25.7*C,35.6%
12/05/20,14:47,25.7*C,35.6%
12/05/20,14:47,25.7*C,35.6%
12/05/20,14:47,25.7*C,35.6%
12/05/20,14:47,25.7*C,35.6%
12/05/20,14:47,25.7*C,35.6%
12/05/20,14:47,25.7*C,35.6%
12/05/20,14:48,25.7*C,35.6%
12/05/20,14:48,25.7*C,35.6%
12/05/20,14:48,25.7*C,35.6%
12/05/20,14:48,25.7*C,35.6%
12/05/20,14:48,25.7*C,35.6%
12/05/20,14:48,25.7*C,35.6%
12/05/20,14:48,25.7*C,35.6%
12/05/20,14:48,25.7*C,35.5%
12/05/20,14:48,25.7*C,35.5%
12/05/20,14:48,25.7*C,35.5%
12/05/20,14:49,25.7*C,35.6%
12/05/20,14:49,25.7*C,35.6%
12/05/20,14:49,25.7*C,35.6%
12/05/20,14:49,25.7*C,35.6%
12/05/20,14:49,25.7*C,35.5%
12/05/20,14:49,25.7*C,35.6%
12/05/20,14:49,25.7*C,35.6%
12/05/20,14:49,25.7*C,35.6%
12/05/20,14:49,25.7*C,35.6%
12/05/20,14:49,25.7*C,35.6%
12/05/20,14:49,25.7*C,35.7%
12/05/20,14:50,25.7*C,35.7%
12/05/20,14:50,25.7*C,35.7%
12/05/20,14:50,25.7*C,35.7%
12/05/20,14:50,25.7*C,35.8%
12/05/20,14:50,25.6*C,35.7%
12/05/20,14:50,25.7*C,35.8%
12/05/20,14:50,25.7*C,35.7%
12/05/20,14:50,25.7*C,35.7%
12/05/20,14:50,25.7*C,35.8%
12/05/20,14:51,25.7*C,35.8%
12/05/20,14:51,25.7*C,35.8%
12/05/20,14:51,25.7*C,35.8%
12/05/20,14:51,25.7*C,35.8%
12/05/20,14:51,25.7*C,35.8%
12/05/20,14:51,25.7*C,35.8%
12/05/20,14:51,25.7*C,35.8%
12/05/20,14:51,25.7*C,35.8%
12/05/20,14:51,25.7*C,35.9%
12/05/20,14:52,25.7*C,35.9%
12/05/20,14:52,25.7*C,35.9%
12/05/20,14:52,25.7*C,35.8%
12/05/20,14:52,25.7*C,35.9%
12/05/20,14:52,25.7*C,35.9%
12/05/20,14:52,25.7*C,35.9%
12/05/20,14:52,25.6*C,35.8%
12/05/20,14:52,25.6*C,35.8%
12/05/20,14:52,25.6*C,35.9%
12/05/20,14:52,25.7*C,35.9%
12/05/20,14:53,25.7*C,35.9%
12/05/20,14:53,25.6*C,35.9%
12/05/20,14:53,25.6*C,35.9%
12/05/20,14:53,25.6*C,35.9%
12/05/20,14:53,25.6*C,35.9%
12/05/20,14:53,25.6*C,35.9%
12/05/20,14:53,25.6*C,35.9%
12/05/20,14:53,25.6*C,35.9%
12/05/20,14:53,25.6*C,36.0%
12/05/20,14:54,25.6*C,36.0%
12/05/20,14:54,25.6*C,36.0%
12/05/20,14:54,25.6*C,36.0%
12/05/20,14:54,25.6*C,36.1%
12/05/20,14:54,25.6*C,36.1%
12/05/20,14:54,25.6*C,36.0%
12/05/20,14:54,25.7*C,36.1%
12/05/20,14:54,25.6*C,36.0%
12/05/20,14:54,25.6*C,36.0%
